23	25	52	0	4	1	0	0	1	3	0	0	33	52	12	0	1	0	0	0	0	0	0	0	2	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	6	1	0	0	9	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	14	3	1	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
20	142	0	0	24	1	0	0	14	3	0	0	41	110	0	0	1	1	0	0	0	0	0	0	9	0	0	0	9	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	11	0	0	0	14	0	0	0	2	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	37	1	0	0	4	1	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0
56	0	3	0	6	0	0	0	3	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
3	11	10	0	28	2	1	0	2	3	3	0	5	30	7	0	1	0	0	0	0	0	0	0	3	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	4	4	0	0	7	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	8	1	0	0	0	1	1	0	1	0	0	0	1	2	10	0	1	1	0	0	0	0	0	0
1	2	0	0	1	1	0	0	1	1	0	0	2	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0
1	0	0	0	1	0	1	0	3	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	12	9	7	0	0	34	3	0	1	1	1	0	1	1	1	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	2	1	1	0	1	1	0	0	1	1	0	0	0	0	4	1	0	1	1	0	0	0	0	0
0	0	0	0	1	1	0	0	7	41	0	0	17	27	0	0	2	1	0	0	1	1	0	0	4	1	0	0	2	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	2	1	1	0	9	1	0	0	4	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	6	1	1	0	3	0	0	0	1	0	0	0	1	3	14	1	1	1	0	0	1	1	0	0
